Celebrity,Type,Establishment,Location,Ward,Type,Month
Asap Rocky,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,October
Bella Hadid,Model,1 OAK TOKYO,Roppongi,Minato-ku,Club,April
Halsey,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,October
Liam Payne,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,March
Tyga,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,September
Sarah Snyder,Model,1 OAK TOKYO,Roppongi,Minato-ku,Club,December
Swizz Beatz ,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,October
Austin Mahone,Musician,1 OAK TOKYO,Roppongi,Minato-ku,Club,June
Pharrell Williams,Musician,1 OAK TOKYO,,,,
Pharrell Williams,Musician,2-5 Cafe,Shibuya,Shibuya-ku,Cafe,September
Conan O'Brien,TV Personality,6%DOKIDOKI,Harajuku,Shibuya-ku,Shopping,September
Harry Styles,Musician,ABBEY ROAD,Roppongi,Minato-ku,Live Music Venue,May
Tony Hawk,Athlete,ABBEY ROAD,Roppongi,Minato-ku,Live Music Venue,September
Chris Hemsworth,Actor,academyhills,Roppongi,Minato-ku,Event Venue,January
Camilla Belle,Actor,Afuri Ramen,Harajuku,Shibuya-ku,Restaurant,April
Pharrell Williams,Musician,Afuri Ramen,Harajuku,Shibuya-ku,Restaurant,August
Anthony Bourdain,TV Personality,Albatross,Shinjuku,Shinjuku-ku,Bar,
David Beckham,Athlete,Aman Tokyo,Otemachi,Chiyoda-ku,Hotel,October
Drew Barrymore,Actor,Aman Tokyo,Otemachi,Chiyoda-ku,Hotel,March
Swizz Beatz,Musician,AMBUSH TOKYO,Shibuya,Shibuya-ku,Shopping,June
Bella Hadid,Model,AMORE Omotesando,Omotesando,Shibuya-ku,Shopping,April
Hailey Baldwin,Model,AMORE Omotesando,Omotesando,Shibuya-ku,Shopping,October
Heidi Klum,Model,Aoi Marushin,Asakusa,Taitō-ku,Restaurant,April
Camilla Belle,Actor,Appia Alta,Nishi-Azabu,Minato-ku,Restaurant,April
Kate Hudson,Actor,Aronia De Takazawa,Akasaka,Minato-ku,Restaurant,November
Cindy Crawford,Model,Ba-Tsu Art Gallery,Harajuku,Shibuya-ku,Art Gallery,April
Lena Dunham,Actor,Baby Shoop,Shibuya,Shibuya-ku,Shopping,August
Tyga,Musician,Bape,Harajuku,Shibuya-ku,Shopping,August
Aziz Ansari,Actor,Bar High Five,Ginza,Chuo-ku,Bar,May
Anthony Bourdain,TV Personality,Bar Ishinohana,Shibuya,Shibuya-ku,Bar,
Alexa Chung,Model,Bar Piano,Shibuya,Shibuya-ku,Bar,April
Anthony Bourdain,TV Personality,Bar Piano,Shibuya,Shibuya-ku,Bar,
Pete Wentz,Musician,Big Love Records,Harajuku,Shibuya-ku,Shopping,March
Pharrell Williams,Musician,Billionaire Boys Club,Shibuya,Shibuya-ku,Shopping,August
